EnterLogin;123123123123Введите имя пользователя
Подсказка_по_списанию_тмц;Списания на подоперации будут отняты от текущих остатков на складе
Осмотры_планфакт;Осмотры (план/факт)
Некорректная_ссылка;Некорректная ссылка
План_вывоза_на_элеваторы;План вывоза на элеваторы
Потребность;Потребность
Операции_топливо;Операции (топливо)
Дождевальная_машина;Дождевальная машина
До_десятых;До десятых
До_сотых;До сотых
Округление_площади_в_операциях;Округление площади в операциях
Дополнительные_параметры_осмотра_содержат_дубликаты;Дополнительные параметры осмотра содержат дубликаты
Обрабатываемая_площадь_га;Обрабатываемая площадь, га
Без_фото;Без фото
Фото_не_обязательно;Фото не обязательно
Фото_обязательно;Фото обязательно
Фото_обязательно_для_этого_параметра;Фото обязательно для этого параметра
Фотографии_загружены_не_для_всех_обязательных_параметров;Фотографии загружены не для всех обязательных параметров
Введите_комментарий;Введите комментарий
На_участки_нет_планируемых_операций_согласно_технологии;На участки {0} нет планируемых операций согласно технологии
Отсутствуют_техкарты_для_выбранных_участков;Отсутствуют техкарты для выбранных участков
На_участке_нет_планируемых_операций_согласно_технологии;На участке {0} нет планируемых операций согласно технологии
Значения_источника_данных_не_могут_быть_пустыми;Значения источника данных не могут быть пустыми
Согласующие;Согласующие
Операция_на_участке_в_текущем_сезоне_уже_была_проведена_В_рамках_назначенной_технологии_запланировано_проведение_1_цикла_данной_операции;Операция {0} на участке {1} в текущем сезоне уже была проведена. В рамках назначенной технологии запланировано проведение 1 цикла данной операции.
Операция_на_участке_в_текущем_сезоне_уже_была_проведена_В_рамках_назначенной_технологии_запланировано_проведение_циклов_данной_операции;Операция {0} на участке {1} в текущем сезоне уже была проведена. В рамках назначенной технологии запланировано проведение {2} циклов данной операции.
Согласование;Согласование
Направлено;Направлено
Создать_операцию;Создать операцию
Нет_планируемых_операций_согласно_технологии;нет планируемых операций согласно технологии
На_участок;На участок
На_участки;На участки
Время_круга;Время круга
Упрощённый_алгоритм;Упрощённый алгоритм
Упрощённый_алгоритм_описание;"Обычный алгоритм: тревога сформируется, если техника сделала N разворотов за пределами участка.

Упрощённый алгоритм: тревога сформируется, если техника сделала N разворотов в рамках всей работы (в т.ч. в контуре участка) и совершила выезд за пределы участка.

N равно значению, указанному в Настройках мониторинга (Минимальное количество поворотов для выделения операции).

Внимание: использование упрощённого алгоритма может привести к формированию ложных тревог при незначительном покидании контура участка!"
Номер_водительского_удостоверения;№ водительского удостоверения
Причина_задержки_выполнения;Причина задержки выполнения
Внеплановая;Внеплановая
Для_технологии_есть_техкарты;Для этой технологии уже созданы технологические карты с указанной культурой, поэтому вы не можете ее изменить.
Недовыполнение_га;Недовыполнение, га
Отклонение_от_плана_по_операциям;Отклонение от плана по операциям
Перевыполнение_га;Перевыполнение, га
Опытный_участок_делянка;Опытный участок (делянка)
Рейтинг_подразделений;Рейтинг подразделений
Общий_рейтинг;Общий рейтинг
Готов;Готов
Марка_и_гос_номер;Марка и гос номер
Наличие_техники;Наличие техники
Не_готов;Не готов
Вид_орудия;Вид орудия
Дата_следующей_оплаты_аренды_кадастрового_участка;Дата следующей оплаты аренды кадастрового участка
Дата_следующей_оплаты_земельного_налога;Дата следующей оплаты земельного налога
Окончание_срока_аренды_дата_оплаты;Окончание срока аренды /дата оплаты
Окончание_срока_аренды_кадастрового_участка;Окончание срока аренды кадастрового участка
Движения_по_складам;Движения по складам
За_сколько_дней_до_оплаты_аренды_кадастрового_участка_предупреждать;За сколько дней до оплаты аренды кадастрового участка предупреждать
За_сколько_дней_до_оплаты_налога_предупреждать;За сколько дней до оплаты налога предупреждать
За_сколько_месяцев_до_оплаты_аренды_кадастрового_участка_предупреждать;За сколько месяцев до оплаты аренды кадастрового участка предупреждать
За_сколько_месяцев_до_оплаты_налога_предупреждать;За сколько месяцев до оплаты налога предупреждать
Механизм_свободной_кассы;"Механизм ""свободной кассы"" для заданий на осмотр"
Задание_на_осмотр_уже_взял_другой_исполнитель;Задание на осмотр уже взял другой исполнитель
Масштабирование_области;Масштабирование области
Восстановить_масштаб_области;Восстановить масштаб области
Запрет_создания_акта_списания_ТМЦ_без_медиафайла;Запрет создания акта списания ТМЦ без медиафайла
Ограничения_и_уведомления;Ограничения и уведомления
Отображать_информацию_по_подразделениям;Отображать информацию по подразделениям
Членство_в_подразделениях;Членство в подразделениях
Отображение_информации_по_подразделениям;Отображение инфомрации по подразделениям
Информация_о_складе;Информация о складе
Изменить_остаток;Изменить остаток
Тип_регистратора;Тип регистратора
Предупреждение_о_удаление_остатка_товара;Изменение остатка на 0 приведёт к удалению товара со склада
Барометр;Барометр
Солнечная_радиация_без_ед_измерения;Солнечная радиация
Настроить_автоматическую_генерацию_заданий;Настроить автоматическую генерацию заданий
Автоматическая_генерация_заданий_на_осмотр;Автоматическая генерация заданий на осмотр
Генерировать_задания;Генерировать задания
Дополнительные_параметры_начала_генерации;Дополнительные параметры начала генерации
Дополнительные_параметры_прекращения_генерации;Дополнительные параметры прекращения генерации
Основные_параметры;Основные параметры
Прекратить_генерацию_через;Прекратить генерацию через
каждые;каждые
через;через
Температура_без_ед_измерения;Температура
Операция_для_начала_генерации;Операция для начала генерации
Точка_росы_без_ед_измерения;Точка росы
При_проверке_возникли_ошибки;При проверке возникли ошибки
Выберите_подтип_операции;Выберите подтип операции
Операция_для_прекращения_генерации;Операция для прекращения генерации
Ошибка_добавления_записи;Ошибка добавления записи
Вы_уверены_удалить_настройки_автоматической_генерации;Вы уверены удалить настройки автоматической генерации?
Не_указан_идентификатор_операции;Не указан идентификатор операции
Завершение;Завершение
Не_указан_идентификатор_подоперации;Не указан идентификатор подоперации
Создание;Создание
Операция_с_идентификатором_0_не_найдена;Операция с идентификатором {0} - не найдена
Группы_полей;Группы полей
Ответственный_агроном;Ответственный агроном
Поля_обязательны_для_заполнения;Поля обязательны для заполнения
Вы_уверены_что_хотите_удалить_группу_полей;Вы уверены что хотите удалить группу полей?
Запись_принадлежит_другому_пользователю;Запись принадлежит другому пользователю
Не_удалось_добавить_фото_осмотра;Не удалось добавить фото осмотра
Не_удалось_обновить_фото_осмотра;Не удалось обновить фото осмотра
Не_удалось_удалить_фото_осмотра;Не удалось удалить фото осмотра
Списание_ТМЦ;Списание ТМЦ
Время_стоянки;Время стоянки
Отменена;Отменена
Протравитель;Протравитель
протравленные;протравленные
Запрещено_сохранять_операцию_без_комментария;Запрещено сохранять операцию без комментария
Направление_ветра_восток;В
Направление_ветра_запад;З
Направление_ветра_север;С
Направление_ветра_северо_восток;СВ
Направление_ветра_северо_запад;СЗ
Направление_ветра_юг;Ю
Направление_ветра_юго_восток;ЮВ
Направление_ветра_юго_запад;ЮЗ
Запрет_изменения_СЗР;Запрет изменения СЗР
Запрет_изменения_СЗР_описание;"Запрещает изменение СЗР, запланированных по технологии, в плановых подоперациях, при активном ""Запрете создания операций без техкарт""."
Редактирование_СЗР_только_для_внеплановых;Редактирование СЗР, запланированных по технологии, возможно только для внеплановых операций
Операция_не_может_быть_завершена_Требуется_согласование;Операция не может быть завершена. Требуется согласование.
Завершение_несогласованных_операций;Завершение несогласованных операций
Это_изменение_перезапишет_данные_за_следующую_дату;Это изменение перезапишет данные за следующую дату
Группа_операций_не_относится_к_подтипу_операций;Группа операций не относится к подтипу операций
В_подработку_поля;В подработку (с поля)
Погода_град;Град
Погода_гроза;Гроза
Погода_гроза_с_градом;Гроза с градом
Погода_гроза_с_дождем;Гроза с дождем
Погода_дождь;Дождь
Погода_дождь_со_снегом;Дождь со снегом
Погода_легкий_дождь;Легкий дождь
Погода_легкий_снег;Легкий снег
Погода_ливень;Ливень
Погода_облачная;Облачно
Погода_пасмурная;Пасмурно
Погода_переменная_облачность;Переменная облачность
Погода_сильный_дождь;Сильный дождь
Погода_снег;Снег
Погода_снегопад;Снегопад
Погода_штиль;Штиль
Погода_ясная;Ясно
Выберите_операции_для_пересчета;Выберите операции для пересчета
Аргумент_0_обязателен_для_заполнения;Аргумент {0} обязателен для заполнения
Укажите_причину_невыполнения;Укажите причину невыполнения
неподдерживаемый_тип_статуса;неподдерживаемый тип статуса
Обязательное_указание_причин_задержки_и_невыполнения_операций;Обязательное указание причин задержки и невыполнения операций
Объём_работ;Объём работ
Для_указанного_клиента_не_существует_ни_одной_карты_участков;Для указанного клиента не существует ни одной карты участков
Карта_участков_для_указанного_клиента_и_года_не_существует;Карта участков для указанного клиента и года не существует
Карта_участков_для_указанного_клиента_и_года_уже_существует;Карта участков для указанного клиента и года уже существует
Названия_полей;Названия полей
Выберите_участок;Выберите участок
Агротехнические_условия_для_начала_операции_указаны_неверно;Агротехнические условия для начала операции указаны неверно
Изображение_не_найдено;Изображение не найдено
Не_удалось_создать_токен_для_файла;Не удалось создать токен для файла
Датчик_Влажность_см;Датчик {0} Влажность {1} см
Датчик_Температура_см;Датчик {0} Температура {1} см
Отсутствует_статус_согласования;Отсутствует статус согласования
Отсутствует_статус_согласования_0;Отсутствует статус согласования '{0}'
Отсутствует_тип_плана_0;Отсутствует тип плана '{0}'
Высокоолеиновый;Высокоолеиновый
Агротехнические_условия_для_начала_операции_0_не_корректны_сохраните_операцию_с_корректными_условиями;Агротехнические условия для начала операции № {0} не корректны. Сохраните операцию с корректными условиями.
Авторизовано;Авторизовано
Давление_мм_рт_ст;мм рт ст
Температура_воды;Температура воды
Температура_ощущается_как;Ощущается как
t_поверхности;t° поверхности
t_почвы;t° почвы (7 см)
Температура_утром;утром
Температура_днем;днем
Температура_вечером;вечером
Теспература_ночью;ночью
Выбор_данного_признака_в_настоящее_время_не_используется_в_культурах_признак_можно_указать_в_справочнике_сортов;Выбор данного признака в настоящее время не используетс в культурах. Признак можно указать в справочнике сортов
Результат_моделирования_севооборота;Результат моделирования севооборота
Заболевание_растений;Заболевание_растений
Возврат_операций_в_предыдущий_статус;Возврат операций в предыдущий статус
Запрещено_менять_статус_операции_на_предыдущий;Запрещено менять статус операции на предыдущий
Чек_бокс;Чек-бокс
Группа_операций_для_начала_генерации;Группа операций для начала генерации
Группа_операций_для_прекращения_генерации;Группа операций для прекращения генерации
Подтип_операции_для_начала_генерации;Подтип операции для начала генерации
Подтип_операции_для_прекращения_генерации;Подтип операции для прекращения генерации
Недостаточно_прав_для_изменения_параметров;Недостаточно прав для изменения параметров
При_включении_параметра_изменение_данных_подоперации_будет_заблокировано;При включении параметра, изменение данных подоперации будет заблокировано
Непрозрачность_может_иметь_значение;Непрозрачность может иметь значение от {0} до {1}
Сорт_культуры;Сорт культуры
Операция_не_завершена_Требуется_согласование;Операция {0} не завершена, требуется согласование
Существует_операция_пересекающаяся_с_текущей;Уже существует операция, которая пересекается с текущей
Автоматическое_закрытие_заданий_по_которым_сделан_осмотр;Автоматическое закрытие заданий, по которым сделан осмотр
Сведения_о_вышедших_обновлениях;Сведения о вышедших обновлениях
Заявки_на_списание_ТМЦ;Заявки на списание ТМЦ
Погода_вероятность_осадков;Вероятность осадков
Погода_днем;днем
Погода_интенсивность_осадков;Интенс. осадков
Погода_ночью;ночью
Погода_сила_осадков_нулевая;нулевая
Погода_сила_осадков_очень_сильная;очень сильная
Погода_сила_осадков_сильная;сильная
Погода_сила_осадков_слабая;слабая
Погода_сила_осадков_средняя;средняя
Погода_тип_осадков;Тип осадков
Погода_осадки;Осадки
Требуется_указать_количество_часов;Требуется указать количество часов
Дата_меньше_текущей;Дата меньше текущей
Количество_заданий_генерируемых_за_один_цикл;Количество заданий генерируемых за один цикл
Не_удалось_добавить_информацию_о_настройках_автоматической_генерации_задания_на_осмотр_в_БД;Не удалось добавить информацию о настройках автоматической генерации задания на осмотр в БД: команда вернула false.
Не_удалось_обновить_информацию_о_настройках_автоматической_генерации_задания_на_осмотр_в_БД;Не удалось обновить информацию о настройках автоматической генерации задания на осмотр в БД: команда вернула false.
Запрет_списания_ТМЦ_на_незавершенные_операции;Запрет списания ТМЦ со склада на незавершенные операции
Запрещено_списание_ТМЦ_со_склада_на_незавершенные_операции;Запрещено списание ТМЦ со склада на незавершенные операции
Текст_подтверждения_неверный;Текст подтверждения неверный
Значение_0_свойства_1_не_уникально;Значение '{0}' свойства '{1}' не уникально.
Значение_свойства_0_не_уникально;Значение свойства '{0}' не уникально.
Недопустимые_свойства_записи_0;Недопустимые свойства записи '{0}'.
Восстановление;Восстановление
Нужен_статус_согласования_операции_не_выбрано;"Если подтип операции не указан, то статус согласования должен быть ""Не выбрано"""
Некорректная_дата_начала;Некорректная дата начала
Некорректная_дата_завершения;Некорректная дата завершения
Некорректная_дата_операции;Некорректная дата операции
Идентификатор_производителя_модели_не_соответствует_идентификатору_производителя_транспортного_средства;Идентификатор производителя модели не соответствует идентификатору производителя транспортного средства.
часов;часов
Новая_фигура;Новая фигура
Дата_снятия_авторизации;Дата снятия авторизации
Необходимо_ввести_дату;Необходимо ввести дату
Типы_шаблонов;Типы шаблонов
Шаблоны;Шаблоны
Тип_шаблонов_осмотров;Тип шаблонов осмотров
Элемент_уже_существует_в_справочнике;{0} {1} уже существует в справочнике
Отключение_тревоги_при_работе_на_участке;Отключение тревоги при работе на участке
Запрет_создания_операций_без_указания_группы;Запрет создания операций без указания группы
Запрещено_сохранять_операцию_без_указания_группы;Запрещено сохранять операцию без указания группы
Выберите_группу_операций;Выберите группу операций
Без_согласования;Без согласования
Вы_хотите_удалить_заявку_на_выдачу_ТМЦ;Вы хотите удалить заявку на выдачу ТМЦ
Согласование_заявок_на_списание_ТМЦ;Согласование заявок на списание ТМЦ
Заявка_на_списание_ТМЦ;Заявка на списание ТМЦ
Отменена_инициатором;Отменена инициатором
Группа_или_подтип_операции_не_соответствуют_технологии;Группа или подтип операции не соответствуют технологии
Группа_операции_не_соответствуют_технологии;Группа операции не соответствуют технологии
Отсутствует_технологическая_карта;Отсутствует технологическая карта
Подтип_операции_не_соответствуют_технологии;Подтип операции не соответствуют технологии
Запись_0_не_найдена;Запись '{0}' не найдена.
Тип_подоперации;Тип подоперации
ТМЦ_норма_количество;ТМЦ (норма/количество)
Дополнительные_параметры_имеют_неверный_формат;Дополнительные параметры имеют неверный формат
Выгрузить_поля;Выгрузить поля
Максимальное_количество_дней_после_завершения_операции_в_течение_которого_разрешено_списание_ТМЦ;Максимальное количество дней после завершения операции, в течение которого разрешено списание ТМЦ
Истек_срок_списания;Истёк срок списания
Тип_шаблона;Тип шаблона
Удален;Удален
Операция_требует_внесения_ТМЦ;Операция требует внесения ТМЦ
Проведение_операции_на_участке_в_рамках_назначенной_технологии_запланировано_в_циклов;Проведение операции {0} на участке {1} в рамках назначенной технологии запланировано в {2} циклов(цикл)
Масса_куб_м_урожая;Масса 1 куб. м урожая
Анализ_качества_зерна;Анализ качества зерна
Требуется_статус_согласования_1;Требуется статус согласования {0}
Пользователь_не_найден;Пользователь не найден
Накопленные_осадки;Накопленные осадки
Накопленные_температуры;Накопленные температуры
C_даты_сева;С даты сева
C_начала_года;С начала года
504_АПК;504 АПК
Скачать_все_504_АПК;Скачать все 504 АПК
Место_хранения_группа_складов;Место хранения (группа складов)
Кагат;Кагат
Кагаты;Кагаты
ЕФИС_ЗСН;ЕФИС ЗСН
Создал;Создал
Срок_хранения;Срок хранения
Восстановить_выбранные;Восстановить выбранные
Центр_восстановления;Центр восстановления
Округление_единиц_измерения;Округление единиц измерения
Укажите_количество_знаков_после_запятой;"Укажите количество знаков после запятой 0; 1; 2; 3"
Сохранить_настройки_округления;Сохранить настройки округления
Выполнить_сразу;Выполнить сразу
Расход_ГСМ_л;Расход ГСМ, л
Минимальное_время_между_соседними_точками_трека_для_учета_остановки_мин;Минимальное время между соседними точками трека для учета остановки, мин
Минимальное_время_остановки_мин;Минимальное время остановки, мин
Получить_рекомендации;Получить рекомендации
Номер_путевого_листа;Номер путевого листа
Время_восхода;Восход
Время_заката;Закат
Добавить_кагат;Добавить кагат
Долгосрочное;Долгосрочное
Краткосрочное;Краткосрочное
Отгружен;Отгружен
Среднесрочное;Среднесрочное
Сформирован;Сформирован
Заполните_все_обязательные_поля;Заполните все обязательные поля
Доступные_типы_шаблонов;Доступные типы шаблонов
Запрет_создания_плана_работ_без_согласованной_операции;Запрет создания плана работ без согласованной операции
Выберите_незавершeнную_согласованную_операцию;Выберите незавершeнную согласованную операцию
Даты_плана;Даты плана
Даты_факта;Даты факта
В_операции_0_не_указан_подтип_операции;В операции {0} не указан подтип операции
Недостаточно_прав_для_изменения_параметров_подопераций_0;"Недостаточно прав для изменения параметров подопераций:
{0}"
Недостаточно_прав_для_изменения_параметров_подоперации_0;"Недостаточно прав для изменения параметров подоперации:
{0}"
Не_активен;Не активен
Созданные_акты;Созданные акты
Информация_об_акте_контроля;Информация об акте контроля
Выполнить_за_дней;Выполнить за, дней
Загружаемый_файл_уже_существует;Загружаемый файл уже существует
Значение_даты_не_может_быть_меньше_0;Значение даты не может быть меньше {0}
Поле_подразделение_обязательно_к_заполнению;Поле Подразделение обязательно к заполнению
Период_проведения_по_плану_с;Период проведения по плану с
Период_проведения_по_плану;Период проведения по плану
Ранее_учтенный;Ранее учтенный
Условный;Условный
Внесенный;Внесенный
Временный_Удостоверен;Временный (Удостоверен)
Учтенный;Учтенный
Снят_с_учета;Снят с учета
Аннулированный;Аннулированный
Неизвестный_статус;Неизвестный статус
Собственность_публично_правовых_образований;Собственность публично-правовых образований
Частная_собственность;Частная собственность
Неизвестная_форма_владения;Неизвестная форма владения
Земли_сельскохозяйственного_назначения;Земли сельскохозяйственного назначения
Земли_поселений_земли_населенных_пунктов;Земли поселений (земли населенных пунктов)
Земли_промышленности_энергетики_транспорта_связи_радиовещания_телевидения_информатики_земли_для_обеспечения_космической_деятельности_земли_обороны_безопасности_и_земли_иного_специального_назначения;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения
Земли_особо_охраняемых_территорий_и_объектов;Земли особо охраняемых территорий и объектов
Земли_лесного_фонда;Земли лесного фонда
Земли_водного_фонда;Земли водного фонда
Земли_запаса;Земли запаса
Категория_не_установлена;Категория не установлена
Неизвестная_категория_земель;Неизвестная категория земель
кв_км;кв.км.
кв_мм;кв.мм.
кв_см;кв.см.
кв_дм;кв.дм.
дм;дм
морск_м;морск.м.
млн;млн
млрд;млрд
аршин;аршин
мега;мега
Информация_об_участке_не_найдена;Информация об участке не найдена
Не_удалось_получить_ответ_от_росреестра;Не удалось получить ответ от росреестра
Информация_об_участке;Информация об участке
Ожидание_ответа_от_росреестра;Ожидание ответа от росреестра
Доступ_к_осмотрам_других_пользователей;Доступ к осмотрам, созданным другими пользователями
Невозможно_обновить_операцию_одна_из_подопераций_помечена_как_удаленная;Невозможно обновить операцию. Одна из подопераций помечена как удаленная.
Смена_пароля;Смена пароля
Вы_вошли_как;Вы вошли как
Пароли_не_совпадают;Пароли не совпадают
Подтверждение_пароля;Подтверждение пароля
Сменить_пароль;Сменить пароль
Текущий_пароль;Текущий пароль
Пароль_успешно_изменен;Пароль успешно изменен
Смена_пароля_не_поддерживается;Смена пароля не поддерживается
Дата_закрытия_операции;Дата закрытия операции
Способ_закрытия_операции;Способ закрытия операции
Пользовательские_параметры;Пользовательские параметры
Вкладка_Агрономическая;"Вкладка ""Агрономическая"""
Средневзвешенная_цена_за_единицу;Средневзвешенная цена за единицу
Цена_за_единицу;Цена за единицу
Центр_аудита;Центр аудита
Вспомогательные_работы_подоперации;Вспомогательные работы подоперации
Семя_подоперации;Семя подоперации
СЗР_подоперации;СЗР подоперации
Удобрение_подоперации;Удобрение подоперации
Ресурс_заявки_на_выдачу_ТМЦ;Ресурс заявки на выдачу ТМЦ
Карта_урожайности_по_данным_агротроник;Карта урожайности по данным агротроник
Создать_карту_урожайности;Создать карту урожайности
Создание_карты_урожайности;Создание карты урожайности
Карта_урожайности_успешно_сохранена;Карта урожайности успешно сохранена
Карта_урожайности_не_создана;Карта урожайности не создана
Трек_техники_не_пересекается_с_участком;Трек техники не пересекается с участком
Построение_карты_плодородия_для_участка_0_невозможно_из_за_неверной_геометрии;Построение карты плодородия для участка {0} невозможно из-за неверной геометрии
Создано_карт_урожайности;Создано карт урожайности
Разбить_по_участкам;Разбить по участкам
Изменить_ТМЦ;Изменить ТМЦ
Доступ_запрещён;Доступ запрещён
Операция_0_требует_внесения_ТМЦ;Операция {0} требует внесения ТМЦ
Укажите_их_в_плане;Укажите их в плане
Операция_уже_согласована;Операция уже согласована
Экран_руководителя;Экран руководителя
Контроль;Контроль
Выбраны_участки_из_разных_технологических_карт;Выбраны участки из разных технологических карт
Статус_запроса;Статус запроса
Сформировать_запрос_в_контур;"Сформировать запрос в ""Контур"""
Запрет_изменения_семян;Запрет изменения семян
Запрет_изменения_семян_описание;"Запрещает изменение семян, запланированных по технологии, в плановых подоперациях, при активном ""Запрете создания операций без техкарт""."
Запрет_изменения_удобрений;Запрет изменения удобрений
Запрет_изменения_удобрений_описание;"Запрещает изменение удобрений, запланированных по технологии, в плановых подоперациях, при активном ""Запрете создания операций без техкарт""."
Настройки_технологических_карт;Настройки технологических карт
Отсутствует_технологическая_карта_или_выбранная_операция_в_технологической_карте_для_участков;Отсутствует технологическая карта или выбранная операция в технологической карте для участков {0}
Транспортное_средство_имеет_полный_набор_документов;Транспортное средство имеет полный набор документов и допусков для работы
Истёк_срок_изменения;Истёк срок изменения
Наименование_группы_ЗУ;Наименование группы ЗУ
Площадь_группы_ЗУ_фактическая;Площадь группы ЗУ фактическая
Площадь_группы_ЗУ_кадастровая;Площадь группы ЗУ кадастровая
Номер_кадастра;Номер кадастра
Редактирование_семян_только_для_внеплановых;Редактирование семян, запланированных по технологии, возможно только для внеплановых операций
Редактирование_удобрений_только_для_внеплановых;Редактирование удобрений, запланированных по технологии, возможно только для внеплановых операций
В_подоперации_запрещено_редактировать_0;В подоперации запрещено редактировать {0}
Максимальное_время_простоя_мин;Максимальное время простоя (мин)
Наименование_участка;Наименование участка
Файл_0_не_найден;Файл {0} не найден
Количество_записей;Количество записей
Включить_погодные_данные;Включить погодные данные
Обновлять_семена;Обновлять семена
Обновлять_СЗР;Обновлять СЗР
Обновлять_техкарты_при_изменении_технологии;Обновлять техкарты при изменении технологии
